data,estacao,linha,n_passageiros
01/98,Saens Peña,1,624691
01/98,Sao Francisco Xavier,1,148769
01/98,Afonso Pena,1,179229
01/98,Estacio,1,172012
01/98,Praca Onze,1,122723
01/98,Central,1,344655
01/98,Presidente Vargas,1,132939
01/98,Uruguaiana,1,551741
01/98,Carioca,1,709489
01/98,Cinelândia,1,459735
01/98,Gloria,1,178269
01/98,Catete,1,163493
01/98,Largo do Machado,1,331966
01/98,Flamengo,1,23636
01/98,Botafogo,1,619009
01/98,Sao Cristovao,2,71155
01/98,Maracana,2,32618
01/98,Triagem,2,40682
01/98,Maria da Graca,2,129464
01/98,Del Castilho,2,81338
01/98,Inhauma,2,83985
01/98,Engenho da Rainha,2,88654
01/98,Tomas Coelho,2,34829
01/98,Vicente de Carvalho,2,264375
02/98,Saens Peña,1,594722
02/98,Sao Francisco Xavier,1,147254
02/98,Afonso Pena,1,174516
02/98,Estacio,1,156505
02/98,Praca Onze,1,138205
02/98,Central,1,344482
02/98,Presidente Vargas,1,121803
02/98,Uruguaiana,1,505191
02/98,Carioca,1,624352
02/98,Cinelândia,1,431233
02/98,Gloria,1,162847
02/98,Catete,1,155001
02/98,Largo do Machado,1,310692
02/98,Flamengo,1,223357
02/98,Botafogo,1,586534
02/98,Sao Cristovao,2,65413
02/98,Maracana,2,29123
02/98,Triagem,2,36825
02/98,Maria da Graca,2,124878
02/98,Del Castilho,2,70979
02/98,Inhauma,2,77248
02/98,Engenho da Rainha,2,83561
02/98,Tomas Coelho,2,31448
02/98,Vicente de Carvalho,2,240281
03/98,Saens Peña,1,77307
03/98,Sao Francisco Xavier,1,190659
03/98,Afonso Pena,1,227491
03/98,Estacio,1,198179
03/98,Praca Onze,1,148319
03/98,Central,1,398848
03/98,Presidente Vargas,1,165583
03/98,Uruguaiana,1,633926
03/98,Carioca,1,827152
03/98,Cinelândia,1,560767
03/98,Gloria,1,203648
03/98,Catete,1,205988
03/98,Largo do Machado,1,386645
03/98,Flamengo,1,298888
03/98,Botafogo,1,756707
03/98,Sao Cristovao,2,100337
03/98,Maracana,2,66805
03/98,Triagem,2,48019
03/98,Maria da Graca,2,161821
03/98,Del Castilho,2,93329
03/98,Inhauma,2,10007
03/98,Engenho da Rainha,2,105169
03/98,Tomas Coelho,2,41516
03/98,Vicente de Carvalho,2,320172
04/98,Saens Peña,1,709141
04/98,Sao Francisco Xavier,1,171853
04/98,Afonso Pena,1,205818
04/98,Estacio,1,170297
04/98,Praca Onze,1,133582
04/98,Central,1,359196
04/98,Presidente Vargas,1,151749
04/98,Uruguaiana,1,581685
04/98,Carioca,1,760593
04/98,Cinelândia,1,525133
04/98,Gloria,1,188258
04/98,Catete,1,191754
04/98,Largo do Machado,1,370565
04/98,Flamengo,1,277409
04/98,Botafogo,1,702539
04/98,Sao Cristovao,2,86985
04/98,Maracana,2,64413
04/98,Triagem,2,44197
04/98,Maria da Graca,2,141542
04/98,Del Castilho,2,85065
04/98,Inhauma,2,92194
04/98,Engenho da Rainha,2,9618
04/98,Tomas Coelho,2,37692
04/98,Vicente de Carvalho,2,293327
05/98,Saens Peña,1,730296
05/98,Sao Francisco Xavier,1,180667
05/98,Afonso Pena,1,214897
05/98,Estacio,1,178992
05/98,Praca Onze,1,136289
05/98,Central,1,371177
05/98,Presidente Vargas,1,157771
05/98,Uruguaiana,1,611449
05/98,Carioca,1,778498
05/98,Cinelândia,1,528387
05/98,Gloria,1,193516
05/98,Catete,1,19489
05/98,Largo do Machado,1,362373
05/98,Flamengo,1,280254
05/98,Botafogo,1,704443
05/98,Sao Cristovao,2,8999
05/98,Maracana,2,34093
05/98,Triagem,2,47697
05/98,Maria da Graca,2,137489
05/98,Del Castilho,2,94836
05/98,Inhauma,2,96826
05/98,Engenho da Rainha,2,98615
05/98,Tomas Coelho,2,37396
05/98,Vicente de Carvalho,2,296503
06/98,Saens Peña,1,715012
06/98,Sao Francisco Xavier,1,178195
06/98,Afonso Pena,1,210475
06/98,Estacio,1,179872
06/98,Praca Onze,1,133325
06/98,Central,1,3565
06/98,Presidente Vargas,1,15766
06/98,Uruguaiana,1,614514
06/98,Carioca,1,771747
06/98,Cinelândia,1,501642
06/98,Gloria,1,188729
06/98,Catete,1,190854
06/98,Largo do Machado,1,36101
06/98,Flamengo,1,277195
06/98,Botafogo,1,695853
06/98,Sao Cristovao,2,84626
06/98,Maracana,2,30973
06/98,Triagem,2,4631
06/98,Maria da Graca,2,135643
06/98,Del Castilho,2,90242
06/98,Inhauma,2,94734
06/98,Engenho da Rainha,2,97812
06/98,Tomas Coelho,2,36831
06/98,Vicente de Carvalho,2,288982
07/98,Saens Peña,1,821055
07/98,Sao Francisco Xavier,1,198205
07/98,Afonso Pena,1,232252
07/98,Estacio,1,208805
07/98,Praca Onze,1,148154
07/98,Central,1,405581
07/98,Presidente Vargas,1,172742
07/98,Uruguaiana,1,697361
07/98,Carioca,1,899407
07/98,Cinelândia,1,607629
07/98,Gloria,1,212322
07/98,Catete,1,215994
07/98,Largo do Machado,1,424367
07/98,Flamengo,1,30922
07/98,Botafogo,1,757589
07/98,Cardeal Arcoverde,1,415817
07/98,Sao Cristovao,2,91216
07/98,Maracana,2,54846
07/98,Triagem,2,52937
07/98,Maria da Graca,2,161331
07/98,Del Castilho,2,116868
07/98,Inhauma,2,10333
07/98,Engenho da Rainha,2,105744
07/98,Tomas Coelho,2,39206
07/98,Vicente de Carvalho,2,3433
08/98,Saens Peña,1,791989
08/98,Sao Francisco Xavier,1,190862
08/98,Afonso Pena,1,232108
08/98,Estacio,1,197037
08/98,Praca Onze,1,143419
08/98,Central,1,390117
08/98,Presidente Vargas,1,170525
08/98,Uruguaiana,1,657693
08/98,Carioca,1,842306
08/98,Cinelândia,1,571756
08/98,Gloria,1,208531
08/98,Catete,1,213397
08/98,Largo do Machado,1,403365
08/98,Flamengo,1,300926
08/98,Botafogo,1,722106
08/98,Cardeal Arcoverde,1,392092
08/98,Sao Cristovao,2,92707
08/98,Maracana,2,53516
08/98,Triagem,2,50908
08/98,Maria da Graca,2,153956
08/98,Del Castilho,2,106799
08/98,Inhauma,2,97552
08/98,Engenho da Rainha,2,101525
08/98,Tomas Coelho,2,38565
08/98,Vicente de Carvalho,2,329233
09/98,Saens Peña,1,825252
09/98,Sao Francisco Xavier,1,199625
09/98,Afonso Pena,1,237568
09/98,Estacio,1,214684
09/98,Praca Onze,1,142574
09/98,Central,1,390776
09/98,Presidente Vargas,1,17448
09/98,Uruguaiana,1,679734
09/98,Carioca,1,862436
09/98,Cinelândia,1,596093
09/98,Gloria,1,209694
09/98,Catete,1,220968
09/98,Largo do Machado,1,413326
09/98,Flamengo,1,307208
09/98,Botafogo,1,745758
09/98,Cardeal Arcoverde,1,434567
09/98,Sao Cristovao,2,130113
09/98,Maracana,2,85616
09/98,Triagem,2,70175
09/98,Maria da Graca,2,16145
09/98,Del Castilho,2,110421
09/98,Inhauma,2,101147
09/98,Engenho da Rainha,2,104444
09/98,Tomas Coelho,2,38886
09/98,Vicente de Carvalho,2,25105
09/98,Iraja,2,8364
09/98,Colegio,2,1597
09/98,Coelho Neto,2,1057
09/98,Acari/Fazenda Botafogo,2,8125
09/98,Engenheiro Rubens Paiva,2,5359
09/98,Pavuna,2,384823
10/98,Saens Peña,1,843672
10/98,Sao Francisco Xavier,1,203935
10/98,Afonso Pena,1,238033
10/98,Estacio,1,212097
10/98,Praca Onze,1,140575
10/98,Central,1,397482
10/98,Presidente Vargas,1,171777
10/98,Uruguaiana,1,680134
10/98,Carioca,1,843366
10/98,Cinelândia,1,577915
10/98,Gloria,1,214022
10/98,Catete,1,223112
10/98,Largo do Machado,1,427574
10/98,Flamengo,1,311032
10/98,Botafogo,1,745901
10/98,Cardeal Arcoverde,1,452451
10/98,Sao Cristovao,2,137644
10/98,Maracana,2,98746
10/98,Triagem,2,75573
10/98,Maria da Graca,2,167549
10/98,Del Castilho,2,11943
10/98,Inhauma,2,104612
10/98,Engenho da Rainha,2,105794
10/98,Tomas Coelho,2,40339
10/98,Vicente de Carvalho,2,203158
10/98,Iraja,2,110311
10/98,Colegio,2,55838
10/98,Coelho Neto,2,41567
10/98,Acari/Fazenda Botafogo,2,38876
10/98,Engenheiro Rubens Paiva,2,34314
10/98,Pavuna,2,432664
11/98,Saens Peña,1,804726
11/98,Sao Francisco Xavier,1,192705
11/98,Afonso Pena,1,227772
11/98,Estacio,1,207972
11/98,Praca Onze,1,135355
11/98,Central,1,378572
11/98,Presidente Vargas,1,169927
11/98,Uruguaiana,1,670862
11/98,Carioca,1,822123
11/98,Cinelândia,1,54986
11/98,Gloria,1,198553
11/98,Catete,1,209123
11/98,Largo do Machado,1,398951
11/98,Flamengo,1,297749
11/98,Botafogo,1,717313
11/98,Cardeal Arcoverde,1,420784
11/98,Sao Cristovao,2,132262
11/98,Maracana,2,82508
11/98,Triagem,2,72586
11/98,Maria da Graca,2,157111
11/98,Del Castilho,2,11668
11/98,Inhauma,2,10175
11/98,Engenho da Rainha,2,101227
11/98,Tomas Coelho,2,37854
11/98,Vicente de Carvalho,2,187628
11/98,Iraja,2,106247
11/98,Colegio,2,59393
11/98,Coelho Neto,2,46928
11/98,Acari/Fazenda Botafogo,2,39732
11/98,Engenheiro Rubens Paiva,2,37417
11/98,Pavuna,2,408804
12/98,Saens Peña,1,871517
12/98,Sao Francisco Xavier,1,207922
12/98,Afonso Pena,1,241059
12/98,Estacio,1,223926
12/98,Praca Onze,1,145038
12/98,Central,1,416488
12/98,Presidente Vargas,1,184044
12/98,Uruguaiana,1,76476
12/98,Carioca,1,847882
12/98,Cinelândia,1,538563
12/98,Gloria,1,213881
12/98,Catete,1,218264
12/98,Largo do Machado,1,43093
12/98,Flamengo,1,30371
12/98,Botafogo,1,730722
12/98,Cardeal Arcoverde,1,503813
12/98,Sao Cristovao,2,138791
12/98,Maracana,2,73642
12/98,Triagem,2,75087
12/98,Maria da Graca,2,166573
12/98,Del Castilho,2,166326
12/98,Inhauma,2,107713
12/98,Engenho da Rainha,2,111576
12/98,Tomas Coelho,2,42581
12/98,Vicente de Carvalho,2,209754
12/98,Iraja,2,122403
12/98,Colegio,2,70643
12/98,Coelho Neto,2,5861
12/98,Acari/Fazenda Botafogo,2,484
12/98,Engenheiro Rubens Paiva,2,44253
12/98,Pavuna,2,476865
01/99,Saens Peña,1,726778
01/99,Sao Francisco Xavier,1,175044
01/99,Afonso Pena,1,201252
01/99,Estacio,1,198694
01/99,Praca Onze,1,121591
01/99,Central,1,36083
01/99,Presidente Vargas,1,146996
01/99,Uruguaiana,1,617401
01/99,Carioca,1,763136
01/99,Cinelândia,1,490992
01/99,Gloria,1,188545
01/99,Catete,1,189637
01/99,Largo do Machado,1,370148
01/99,Flamengo,1,260154
01/99,Botafogo,1,639297
01/99,Cardeal Arcoverde,1,549365
01/99,Sao Cristovao,2,127656
01/99,Maracana,2,94335
01/99,Triagem,2,67937
01/99,Maria da Graca,2,147323
01/99,Del Castilho,2,124184
01/99,Inhauma,2,95074
01/99,Engenho da Rainha,2,9998
01/99,Tomas Coelho,2,39367
01/99,Vicente de Carvalho,2,180082
01/99,Iraja,2,112216
01/99,Colegio,2,67306
01/99,Coelho Neto,2,58096
01/99,Acari/Fazenda Botafogo,2,48142
01/99,Engenheiro Rubens Paiva,2,44118
01/99,Pavuna,2,457925
02/99,Saens Peña,1,699899
02/99,Sao Francisco Xavier,1,175524
02/99,Afonso Pena,1,1999
02/99,Estacio,1,194618
02/99,Praca Onze,1,150933
02/99,Central,1,387297
02/99,Presidente Vargas,1,137893
02/99,Uruguaiana,1,586405
02/99,Carioca,1,716894
02/99,Cinelândia,1,481353
02/99,Gloria,1,178939
02/99,Catete,1,177404
02/99,Largo do Machado,1,361745
02/99,Flamengo,1,253084
02/99,Botafogo,1,615714
02/99,Cardeal Arcoverde,1,484709
02/99,Sao Cristovao,2,127277
02/99,Maracana,2,76666
02/99,Triagem,2,65609
02/99,Maria da Graca,2,143623
02/99,Del Castilho,2,103152
02/99,Inhauma,2,91782
02/99,Engenho da Rainha,2,95308
02/99,Tomas Coelho,2,36927
02/99,Vicente de Carvalho,2,170669
02/99,Iraja,2,110432
02/99,Colegio,2,6638
02/99,Coelho Neto,2,57552
02/99,Acari/Fazenda Botafogo,2,47191
02/99,Engenheiro Rubens Paiva,2,43228
02/99,Pavuna,2,441223
03/99,Saens Peña,1,923675
03/99,Sao Francisco Xavier,1,230063
03/99,Afonso Pena,1,266468
03/99,Estacio,1,244841
03/99,Praca Onze,1,146617
03/99,Central,1,429032
03/99,Presidente Vargas,1,193365
03/99,Uruguaiana,1,753444
03/99,Carioca,1,96431
03/99,Cinelândia,1,621252
03/99,Gloria,1,227444
03/99,Catete,1,238006
03/99,Largo do Machado,1,458086
03/99,Flamengo,1,346573
03/99,Botafogo,1,844671
03/99,Cardeal Arcoverde,1,506508
03/99,Sao Cristovao,2,174801
03/99,Maracana,2,12472
03/99,Triagem,2,84151
03/99,Maria da Graca,2,175371
03/99,Del Castilho,2,138358
03/99,Inhauma,2,111606
03/99,Engenho da Rainha,2,113547
03/99,Tomas Coelho,2,4294
03/99,Vicente de Carvalho,2,211485
03/99,Iraja,2,138992
03/99,Colegio,2,8075
03/99,Coelho Neto,2,70024
03/99,Acari/Fazenda Botafogo,2,54728
03/99,Engenheiro Rubens Paiva,2,52153
03/99,Pavuna,2,515248
04/99,Saens Peña,1,810458
04/99,Sao Francisco Xavier,1,20204
04/99,Afonso Pena,1,230561
04/99,Estacio,1,218036
04/99,Praca Onze,1,131029
04/99,Central,1,377161
04/99,Presidente Vargas,1,166529
04/99,Uruguaiana,1,653594
04/99,Carioca,1,815726
04/99,Cinelândia,1,538599
04/99,Gloria,1,202779
04/99,Catete,1,21328
04/99,Largo do Machado,1,405989
04/99,Flamengo,1,306615
04/99,Botafogo,1,735879
04/99,Cardeal Arcoverde,1,450288
04/99,Sao Cristovao,2,156653
04/99,Maracana,2,112612
04/99,Triagem,2,75485
04/99,Maria da Graca,2,160356
04/99,Del Castilho,2,125232
04/99,Inhauma,2,100702
04/99,Engenho da Rainha,2,102783
04/99,Tomas Coelho,2,39974
04/99,Vicente de Carvalho,2,189838
04/99,Iraja,2,128424
04/99,Colegio,2,7497
04/99,Coelho Neto,2,66983
04/99,Acari/Fazenda Botafogo,2,52116
04/99,Engenheiro Rubens Paiva,2,48647
04/99,Pavuna,2,470032
05/99,Saens Peña,1,857142
05/99,Sao Francisco Xavier,1,215826
05/99,Afonso Pena,1,245087
05/99,Estacio,1,234286
05/99,Praca Onze,1,142262
05/99,Central,1,40171
05/99,Presidente Vargas,1,176609
05/99,Uruguaiana,1,706911
05/99,Carioca,1,871746
05/99,Cinelândia,1,581783
05/99,Gloria,1,211846
05/99,Catete,1,221658
05/99,Largo do Machado,1,426343
05/99,Flamengo,1,321547
05/99,Botafogo,1,773564
05/99,Cardeal Arcoverde,1,471512
05/99,Sao Cristovao,2,169389
05/99,Maracana,2,113247
05/99,Triagem,2,81888
05/99,Maria da Graca,2,17261
05/99,Del Castilho,2,135566
05/99,Inhauma,2,107348
05/99,Engenho da Rainha,2,10822
05/99,Tomas Coelho,2,42062
05/99,Vicente de Carvalho,2,203427
05/99,Iraja,2,143348
05/99,Colegio,2,81114
05/99,Coelho Neto,2,76012
05/99,Acari/Fazenda Botafogo,2,56239
05/99,Engenheiro Rubens Paiva,2,52773
05/99,Pavuna,2,513762
06/99,Saens Peña,1,853891
06/99,Sao Francisco Xavier,1,21388
06/99,Afonso Pena,1,240748
06/99,Estacio,1,22844
06/99,Praca Onze,1,140238
06/99,Central,1,398537
06/99,Presidente Vargas,1,176181
06/99,Uruguaiana,1,70215
06/99,Carioca,1,87857
06/99,Cinelândia,1,560029
06/99,Gloria,1,208939
06/99,Catete,1,222022
06/99,Largo do Machado,1,428161
06/99,Flamengo,1,31831
06/99,Botafogo,1,772752
06/99,Cardeal Arcoverde,1,489301
06/99,Sao Cristovao,2,170215
06/99,Maracana,2,117353
06/99,Triagem,2,8002
06/99,Maria da Graca,2,1715
06/99,Del Castilho,2,137988
06/99,Inhauma,2,108794
06/99,Engenho da Rainha,2,109938
06/99,Tomas Coelho,2,41128
06/99,Vicente de Carvalho,2,204754
06/99,Iraja,2,144473
06/99,Colegio,2,81917
06/99,Coelho Neto,2,77255
06/99,Acari/Fazenda Botafogo,2,56879
06/99,Engenheiro Rubens Paiva,2,54906
06/99,Pavuna,2,523687
07/99,Saens Peña,1,888021
07/99,Sao Francisco Xavier,1,221696
07/99,Afonso Pena,1,248414
07/99,Estacio,1,241694
07/99,Praca Onze,1,145882
07/99,Central,1,429338
07/99,Presidente Vargas,1,175201
07/99,Uruguaiana,1,740883
07/99,Carioca,1,917144
07/99,Cinelândia,1,57881
07/99,Gloria,1,214265
07/99,Catete,1,227755
07/99,Largo do Machado,1,4471
07/99,Flamengo,1,320209
07/99,Botafogo,1,797246
07/99,Cardeal Arcoverde,1,525162
07/99,Sao Cristovao,2,171131
07/99,Maracana,2,96182
07/99,Triagem,2,86093
07/99,Maria da Graca,2,17555
07/99,Del Castilho,2,147986
07/99,Inhauma,2,113144
07/99,Engenho da Rainha,2,115087
07/99,Tomas Coelho,2,43445
07/99,Vicente de Carvalho,2,210796
07/99,Iraja,2,152109
07/99,Colegio,2,86134
07/99,Coelho Neto,2,83763
07/99,Acari/Fazenda Botafogo,2,61166
07/99,Engenheiro Rubens Paiva,2,60874
07/99,Pavuna,2,559173
08/99,Saens Peña,1,911405
08/99,Sao Francisco Xavier,1,229847
08/99,Afonso Pena,1,26496
08/99,Estacio,1,245222
08/99,Praca Onze,1,151019
08/99,Central,1,439865
08/99,Presidente Vargas,1,1836
08/99,Uruguaiana,1,735127
08/99,Carioca,1,928056
08/99,Cinelândia,1,599391
08/99,Gloria,1,219028
08/99,Catete,1,237449
08/99,Largo do Machado,1,455693
08/99,Flamengo,1,340912
08/99,Botafogo,1,830784
08/99,Cardeal Arcoverde,1,521875
08/99,Sao Cristovao,2,179513
08/99,Maracana,2,104725
08/99,Triagem,2,91701
08/99,Maria da Graca,2,180329
08/99,Del Castilho,2,143977
08/99,Inhauma,2,118266
08/99,Engenho da Rainha,2,117108
08/99,Tomas Coelho,2,45214
08/99,Vicente de Carvalho,2,213661
08/99,Iraja,2,154656
08/99,Colegio,2,87984
08/99,Coelho Neto,2,84128
08/99,Acari/Fazenda Botafogo,2,62366
08/99,Engenheiro Rubens Paiva,2,63365
08/99,Pavuna,2,559437
09/99,Saens Peña,1,877573
09/99,Sao Francisco Xavier,1,222824
09/99,Afonso Pena,1,252934
09/99,Estacio,1,235606
09/99,Praca Onze,1,141909
09/99,Central,1,441028
09/99,Presidente Vargas,1,174219
09/99,Uruguaiana,1,705672
09/99,Carioca,1,896402
09/99,Cinelândia,1,570848
09/99,Gloria,1,214843
09/99,Catete,1,22945
09/99,Largo do Machado,1,441499
09/99,Flamengo,1,330323
09/99,Botafogo,1,813008
09/99,Cardeal Arcoverde,1,532805
09/99,Sao Cristovao,2,181926
09/99,Maracana,2,133532
09/99,Triagem,2,89594
09/99,Maria da Graca,2,18035
09/99,Del Castilho,2,142115
09/99,Inhauma,2,117427
09/99,Engenho da Rainha,2,116752
09/99,Tomas Coelho,2,46091
09/99,Vicente de Carvalho,2,2115
09/99,Iraja,2,156829
09/99,Colegio,2,89352
09/99,Coelho Neto,2,86691
09/99,Acari/Fazenda Botafogo,2,64708
09/99,Engenheiro Rubens Paiva,2,6348
09/99,Pavuna,2,563353
10/99,Saens Peña,1,838892
10/99,Sao Francisco Xavier,1,211208
10/99,Afonso Pena,1,241536
10/99,Estacio,1,226429
10/99,Praca Onze,1,136371
10/99,Central,1,431658
10/99,Presidente Vargas,1,166252
10/99,Uruguaiana,1,681028
10/99,Carioca,1,843207
10/99,Cinelândia,1,527172
10/99,Gloria,1,204748
10/99,Catete,1,220548
10/99,Largo do Machado,1,431117
10/99,Flamengo,1,319064
10/99,Botafogo,1,778593
10/99,Cardeal Arcoverde,1,498506
10/99,Sao Cristovao,2,178359
10/99,Maracana,2,141391
10/99,Triagem,2,84674
10/99,Maria da Graca,2,172831
10/99,Del Castilho,2,14915
10/99,Inhauma,2,115385
10/99,Engenho da Rainha,2,116591
10/99,Tomas Coelho,2,44498
10/99,Vicente de Carvalho,2,207192
10/99,Iraja,2,153026
10/99,Colegio,2,90244
10/99,Coelho Neto,2,84207
10/99,Acari/Fazenda Botafogo,2,62171
10/99,Engenheiro Rubens Paiva,2,62765
10/99,Pavuna,2,554112
11/99,Saens Peña,1,850546
11/99,Sao Francisco Xavier,1,213094
11/99,Afonso Pena,1,24354
11/99,Estacio,1,224952
11/99,Praca Onze,1,139283
11/99,Central,1,438799
11/99,Presidente Vargas,1,171324
11/99,Uruguaiana,1,696242
11/99,Carioca,1,843526
11/99,Cinelândia,1,524702
11/99,Gloria,1,204292
11/99,Catete,1,223125
11/99,Largo do Machado,1,433114
11/99,Flamengo,1,32254
11/99,Botafogo,1,793856
11/99,Cardeal Arcoverde,1,518776
11/99,Sao Cristovao,2,17641
11/99,Maracana,2,113595
11/99,Triagem,2,86073
11/99,Maria da Graca,2,174335
11/99,Del Castilho,2,143142
11/99,Inhauma,2,117392
11/99,Engenho da Rainha,2,114053
11/99,Tomas Coelho,2,43989
11/99,Vicente de Carvalho,2,202657
11/99,Iraja,2,15305
11/99,Colegio,2,89729
11/99,Coelho Neto,2,85322
